,accuracy,precision,recall,f1,auc
Baseline (No Resampling),0.9483620210993893,1.0,0.7430939226519337,0.8526148969889065,0.9901606394864451
1:1 Undersample,0.9516935036091061,0.8062360801781737,1.0,0.8927250308261405,0.9910868889153379
1.5:1 Undersample,0.9500277623542477,0.8063063063063063,0.988950276243094,0.8883374689826302,0.9906396016263597
2:1 Undersample,0.9411438089950028,0.9210526315789473,0.7734806629834254,0.8408408408408409,0.9902950176419321
SMOTE Oversample,0.9516935036091061,0.8062360801781737,1.0,0.8927250308261405,0.9912279859785993
