,accuracy,precision,recall,f1,auc
Baseline (No Resampling),0.9239311493614658,0.8548895899053628,0.7486187845303868,0.7982326951399117,0.9758676029624623
1:1 Undersample,0.9516935036091061,0.8062360801781737,1.0,0.8927250308261405,0.9920102588123274
1.5:1 Undersample,0.9516935036091061,0.8062360801781737,1.0,0.8927250308261405,0.9917223056219981
2:1 Undersample,0.9483620210993893,1.0,0.7430939226519337,0.8526148969889065,0.9918240490825811
SMOTE Oversample,0.9244863964464186,0.7269076305220884,1.0,0.8418604651162791,0.9913182113115693
