user_id,happy,happyornot,location,resp_time,sad,sadornot,datetime_utc
u00,2,1.0,Unknown,1366857633,4,1.0,2013-04-25 02:40:33+00:00
u00,1,2.0,"43.75921839,-72.32919741",1366870195,3,1.0,2013-04-25 06:09:55+00:00
u00,3,1.0,"43.75880824,-72.32925862",1368631462,1,2.0,2013-05-15 15:24:22+00:00
u00,2,1.0,"43.71332016,-72.30876457",1368718987,1,1.0,2013-05-16 15:43:07+00:00
u00,2,1.0,"43.75929012,-72.32904032",1368802750,1,,2013-05-17 14:59:10+00:00
u00,1,,"43.75906255,-72.32936718",1369104096,1,,2013-05-21 02:41:36+00:00
u00,1,2.0,"43.70685166,-72.28720734",1369195078,1,2.0,2013-05-22 03:57:58+00:00
u00,1,1.0,"43.7065519,-72.28701015",1369276811,1,1.0,2013-05-23 02:40:11+00:00
u00,1,,"43.70206745,-72.2892032",1375840039,1,,2013-08-07 01:47:19+00:00
u00,1,,"43.70579481,-72.28577693",1376106249,1,,2013-08-10 03:44:09+00:00
u01,2,1.0,"43.70673326,-72.28908826",1366878848,1,1.0,2013-04-25 08:34:08+00:00
u01,2,1.0,"43.70670928,-72.28905161",1368693668,1,1.0,2013-05-16 08:41:08+00:00
u02,1,2.0,"43.70626697,-72.2868116",1369015384,1,1.0,2013-05-20 02:03:04+00:00
u03,1,2.0,"43.70520317,-72.28305108",1367803194,1,1.0,2013-05-06 01:19:54+00:00
u04,1,1.0,"43.70420222,-72.28562222",1366875307,4,1.0,2013-04-25 07:35:07+00:00
u04,2,1.0,"43.70212944,-72.28954547",1367799541,1,2.0,2013-05-06 00:19:01+00:00
u04,2,1.0,"43.7019109,-72.28816483",1368599232,1,1.0,2013-05-15 06:27:12+00:00
u04,2,1.0,"43.7026866,-72.28761377",1368696415,1,1.0,2013-05-16 09:26:55+00:00
u07,1,1.0,"43.70362097,-72.28406105",1366871100,2,1.0,2013-04-25 06:25:00+00:00
u08,1,1.0,"43.70436631,-72.2905311",1366851284,1,2.0,2013-04-25 00:54:44+00:00
u08,1,2.0,"43.7016753,-72.28841929",1366869637,2,1.0,2013-04-25 06:00:37+00:00
u08,1,1.0,"43.70351837,-72.28677131",1366926951,1,1.0,2013-04-25 21:55:51+00:00
u08,1,2.0,"43.70295661,-72.28995533",1367022655,2,1.0,2013-04-27 00:30:55+00:00
u08,1,1.0,"43.70708811,-72.28767562",1367399841,3,1.0,2013-05-01 09:17:21+00:00
u08,1,1.0,"43.7037094,-72.28660102",1367745595,1,1.0,2013-05-05 09:19:55+00:00
u08,1,1.0,"43.7049437,-72.28880281",1367898791,1,2.0,2013-05-07 03:53:11+00:00
u08,1,2.0,"43.70441791,-72.29120623",1368868051,4,1.0,2013-05-18 09:07:31+00:00
u08,1,1.0,"43.70546322,-72.29171657",1369274495,3,1.0,2013-05-23 02:01:35+00:00
u10,2,1.0,"43.70324408,-72.28961597",1366852979,1,2.0,2013-04-25 01:22:59+00:00
u10,1,1.0,"43.70297206,-72.28625376",1366868400,1,2.0,2013-04-25 05:40:00+00:00
u10,1,2.0,"43.70297206,-72.28625376",1366876744,1,2.0,2013-04-25 07:59:04+00:00
u10,1,2.0,"43.70330372,-72.2898598",1366907707,1,2.0,2013-04-25 16:35:07+00:00
u10,1,2.0,"43.70330372,-72.2898598",1366993857,1,2.0,2013-04-26 16:30:57+00:00
u10,2,1.0,"43.7062393,-72.28864412",1367036273,1,2.0,2013-04-27 04:17:53+00:00
u10,1,2.0,"43.70324666,-72.29028792",1368636280,1,,2013-05-15 16:44:40+00:00
u10,2,1.0,"43.70324666,-72.29028792",1368692438,1,2.0,2013-05-16 08:20:38+00:00
u10,1,2.0,"43.70620585,-72.28792804",1368776280,1,2.0,2013-05-17 07:38:00+00:00
u12,1,1.0,"43.63746124,-72.24829138",1367706629,1,2.0,2013-05-04 22:30:29+00:00
u14,2,1.0,"43.706818,-72.28739128",1367803663,1,2.0,2013-05-06 01:27:43+00:00
u16,1,1.0,"43.70381392,-72.29084126",1366956931,4,1.0,2013-04-26 06:15:31+00:00
u16,1,2.0,"43.70381392,-72.29084126",1367006807,1,1.0,2013-04-26 20:06:47+00:00
u16,1,2.0,"43.70383449,-72.29122954",1367037294,1,1.0,2013-04-27 04:34:54+00:00
u16,3,1.0,"43.70376088,-72.29035391",1367341931,1,2.0,2013-04-30 17:12:11+00:00
u16,2,1.0,Unknown,1367443156,1,2.0,2013-05-01 21:19:16+00:00
u16,1,1.0,"43.70355342,-72.29047722",1367691606,1,2.0,2013-05-04 18:20:06+00:00
u16,2,1.0,"43.70369577,-72.29064258",1367799036,1,1.0,2013-05-06 00:10:36+00:00
u16,2,1.0,"43.70369577,-72.29064258",1367860645,2,1.0,2013-05-06 17:17:25+00:00
u16,2,1.0,"43.70534496,-72.29049134",1367948858,1,1.0,2013-05-07 17:47:38+00:00
u16,2,1.0,"43.70317722,-72.28939878",1368290120,1,1.0,2013-05-11 16:35:20+00:00
u16,4,1.0,Unknown,1368386071,1,2.0,2013-05-12 19:14:31+00:00
u16,3,1.0,"43.70391463,-72.28988644",1368506811,1,1.0,2013-05-14 04:46:51+00:00
u16,1,1.0,"43.70391463,-72.28988644",1368576687,2,1.0,2013-05-15 00:11:27+00:00
u16,1,1.0,"43.70391463,-72.28988644",1368597705,1,1.0,2013-05-15 06:01:45+00:00
u16,3,1.0,"43.70374249,-72.29050587",1368653757,1,1.0,2013-05-15 21:35:57+00:00
u16,3,1.0,"43.70374249,-72.29050587",1368691411,3,1.0,2013-05-16 08:03:31+00:00
u16,1,1.0,Unknown,1369104334,3,1.0,2013-05-21 02:45:34+00:00
u16,3,1.0,"43.70241487,-72.28957711",1369194923,1,1.0,2013-05-22 03:55:23+00:00
u16,1,1.0,"43.70688262,-72.28760657",1369277556,3,1.0,2013-05-23 02:52:36+00:00
u16,3,1.0,"43.70675104,-72.28740962",1369365516,3,1.0,2013-05-24 03:18:36+00:00
u16,3,1.0,"43.70372826,-72.29097234",1369417088,1,1.0,2013-05-24 17:38:08+00:00
u17,1,1.0,Unknown,1367209995,2,1.0,2013-04-29 04:33:15+00:00
u17,2,1.0,"43.70440297,-72.29096024",1367798492,3,1.0,2013-05-06 00:01:32+00:00
u17,1,2.0,"43.704622379999996,-72.29115798",1368602159,4,1.0,2013-05-15 07:15:59+00:00
u17,1,2.0,"43.704622379999996,-72.29115798",1368686810,4,1.0,2013-05-16 06:46:50+00:00
u17,1,2.0,"43.70419436,-72.29111957",1368784360,3,1.0,2013-05-17 09:52:40+00:00
u17,1,2.0,"43.70648669,-72.28860157",1368860877,2,1.0,2013-05-18 07:07:57+00:00
u17,1,2.0,"43.70465377,-72.29113067",1369250134,4,1.0,2013-05-22 19:15:34+00:00
u17,1,2.0,Unknown,1369397238,3,1.0,2013-05-24 12:07:18+00:00
u17,1,2.0,Unknown,1369527969,4,1.0,2013-05-26 00:26:09+00:00
u17,1,1.0,"43.70583041,-72.28925846",1369975077,3,1.0,2013-05-31 04:37:57+00:00
u18,1,1.0,"43.70650141,-72.2880166",1368688609,2,1.0,2013-05-16 07:16:49+00:00
u19,2,1.0,"43.70661212,-72.28703723",1366869753,2,1.0,2013-04-25 06:02:33+00:00
u19,2,1.0,"43.70268617,-72.28974899",1366955718,1,2.0,2013-04-26 05:55:18+00:00
u19,1,1.0,"43.70670747,-72.28550624",1367200865,3,1.0,2013-04-29 02:01:05+00:00
u19,3,1.0,"43.70101204,-72.28677708",1367400475,1,2.0,2013-05-01 09:27:55+00:00
u19,2,1.0,"43.70691192,-72.28587513",1367740433,1,2.0,2013-05-05 07:53:53+00:00
u19,3,1.0,"43.70706627,-72.28596306",1367825504,2,1.0,2013-05-06 07:31:44+00:00
u19,2,1.0,"43.70680418,-72.28601166",1368217890,1,2.0,2013-05-10 20:31:30+00:00
u19,3,1.0,"43.70701211,-72.28611727",1368349588,1,1.0,2013-05-12 09:06:28+00:00
u19,1,1.0,"43.70670191,-72.28568105",1368476828,1,1.0,2013-05-13 20:27:08+00:00
u19,1,1.0,"43.70120165,-72.28667414",1368600177,1,1.0,2013-05-15 06:42:57+00:00
u19,1,1.0,"43.70599455,-72.28837514",1368684156,1,1.0,2013-05-16 06:02:36+00:00
u19,1,1.0,"43.70714135,-72.28594665",1368770822,1,1.0,2013-05-17 06:07:02+00:00
