user_id,course_id,due,experience,hours,location,resp_time,datetime_utc
u02,cs65,2,3,2,"43.70615034,-72.29157989",1364601950,2013-03-30 00:05:50+00:00
u02,cs64,2,1,4,"43.70662942,-72.29294684",1364860888,2013-04-02 00:01:28+00:00
u02,cs77,1,3,3,"43.70704982,-72.29255631",1364943761,2013-04-02 23:02:41+00:00
u02,cs65,2,1,2,"43.70499743,-72.29064046",1365194661,2013-04-05 20:44:21+00:00
u02,cs 65,2,1,2,"43.70509383,-72.2895205",1365200047,2013-04-05 22:14:07+00:00
u02,vs 77,2,3,4,"43.70624602,-72.28677483",1365562850,2013-04-10 03:00:50+00:00
u02,cs 65,2,1,5,"43.7070965,-72.29306421",1365672306,2013-04-11 09:25:06+00:00
u02,cs 65,2,3,3,"43.70686475,-72.28624548",1365715992,2013-04-11 21:33:12+00:00
u02,cs 77,2,2,6,"43.70686475,-72.28624548",1365724987,2013-04-12 00:03:07+00:00
u02,cs 65,2,1,3,"43.70708361,-72.29304453",1365833596,2013-04-13 06:13:16+00:00
u02,cs 65,1,3,12,"43.70306878,-72.28954152",1366073565,2013-04-16 00:52:45+00:00
u02,cs77,1,3,12,"43.70726923,-72.29346896",1366185917,2013-04-17 08:05:17+00:00
u02,cs 65,2,1,4,"43.70605802,-72.28864087",1366243323,2013-04-18 00:02:03+00:00
u02,cs 77,2,2,1,"43.70729603,-72.29327299",1366764959,2013-04-24 00:55:59+00:00
u02,cs 65,1,3,7,"43.70766743,-72.28599728",1368211853,2013-05-10 18:50:53+00:00
u03,cs65,2,3,10,"43.70549189,-72.28323121",1364410074,2013-03-27 18:47:54+00:00
u03,"cs57 cs65
",2,2,8,"43.70531971,-72.28309652",1364773833,2013-03-31 23:50:33+00:00
u03,"cs65
",2,1,3,"43.70545024,-72.28315791",1364773837,2013-03-31 23:50:37+00:00
u03,cs57 cs65,2,1,2,"43.70535793,-72.28311321",1364773840,2013-03-31 23:50:40+00:00
u03,cs65 cs57,2,2,5,"43.70526542,-72.28302405",1365264628,2013-04-06 16:10:28+00:00
u03,cs57 cs65,1,1,12,"43.7054001,-72.28311069",1365465991,2013-04-09 00:06:31+00:00
u03,cs165,2,1,12,"43.70513656,-72.2831101",1365617916,2013-04-10 18:18:36+00:00
u03,cs57,2,3,11,"43.70527048,-72.2830645",1366271455,2013-04-18 07:50:55+00:00
u04,cs91,2,1,5,"43.70200674,-72.28525688",1364359256,2013-03-27 04:40:56+00:00
u04,cs99,2,1,3,"43.70437389,-72.28688493",1364529717,2013-03-29 04:01:57+00:00
u04,cs65,2,3,3,"43.70414142,-72.28932127",1364583749,2013-03-29 19:02:29+00:00
u04,cs65,2,3,2,"43.70522558,-72.29116765",1364606949,2013-03-30 01:29:09+00:00
u04,cs65,2,1,3,"43.70315377,-72.28626052",1364690897,2013-03-31 00:48:17+00:00
u04,cs65,1,1,4,"43.7058173,-72.29660835",1364869039,2013-04-02 02:17:19+00:00
u04,cs65,2,1,3,"43.70620355,-72.28887883",1365016660,2013-04-03 19:17:40+00:00
u04,cs65,2,1,3,"43.70321906,-72.28981496",1365029733,2013-04-03 22:55:33+00:00
u04,cs65,2,3,3,"43.70333552,-72.28845129",1365109748,2013-04-04 21:09:08+00:00
u04,cs65,2,3,3,"43.70410935,-72.28983199",1365189572,2013-04-05 19:19:32+00:00
u04,cs65,2,3,3,"43.70472132,-72.28861869",1365202171,2013-04-05 22:49:31+00:00
u04,cs65,2,3,3,"43.70472132,-72.28861869",1365202209,2013-04-05 22:50:09+00:00
u04,cs65,1,1,9,"43.70575201,-72.29596181",1365474864,2013-04-09 02:34:24+00:00
u04,cs65,2,1,1,"43.70493208,-72.28856946",1365567260,2013-04-10 04:14:20+00:00
u04,cs65,2,3,2,"43.70493208,-72.28856946",1365658856,2013-04-11 05:40:56+00:00
u04,cs65,2,1,1,"43.70417131,-72.28591047",1365713326,2013-04-11 20:48:46+00:00
u04,cs65,2,1,2,"43.70417131,-72.28591047",1365730409,2013-04-12 01:33:29+00:00
u04,cs65,2,1,2,"43.7041984,-72.28652356",1365814099,2013-04-13 00:48:19+00:00
u04,cs65,1,1,2,"43.70596983,-72.29501146",1366080639,2013-04-16 02:50:39+00:00
u04,cs65,2,1,2,"43.70546857,-72.28752275",1366327615,2013-04-18 23:26:55+00:00
u04,cs65,2,1,1,"43.702712149999996,-72.28760414",1366609454,2013-04-22 05:44:14+00:00
u04,cs65,1,1,12,"43.70431008,-72.28573285",1366761721,2013-04-24 00:02:01+00:00
u05,CS50,2,3,1,"43.70751491,-72.28694759",1364409301,2013-03-27 18:35:01+00:00
u05,cs65,2,3,1,"43.70751491,-72.28694759",1364415125,2013-03-27 20:12:05+00:00
u05,cs50,2,1,2,"43.70751491,-72.28694759",1364429238,2013-03-28 00:07:18+00:00
u05,cs65,2,3,1,"43.70751491,-72.28694759",1364517679,2013-03-29 00:41:19+00:00
u05,cs65,2,1,1,"43.70751491,-72.28694759",1364605380,2013-03-30 01:03:00+00:00
u07,cs65,2,3,3,"43.7040066,-72.28391899",1364411267,2013-03-27 19:07:47+00:00
u07,cs60,2,2,3,"43.70853656,-72.28421485",1364424839,2013-03-27 22:53:59+00:00
u07,cs65,2,3,2,"43.70432208,-72.28794944",1364504445,2013-03-28 21:00:45+00:00
u07,cs77,2,4,1,"43.70200398,-72.28793859",1364513669,2013-03-28 23:34:29+00:00
u07,cs65,2,3,1,"43.70392608,-72.28391071",1364583711,2013-03-29 19:01:51+00:00
u07,cs65,2,3,4,"43.70878398,-72.28424859",1364843219,2013-04-01 19:06:59+00:00
u07,cs60,2,3,2,"43.70302271,-72.28557646",1364857255,2013-04-01 23:00:55+00:00
u07,cs77,2,4,2,"43.70393516,-72.28368383",1364946243,2013-04-02 23:44:03+00:00
u07,cs 65,2,1,3,"43.70910489,-72.2849146",1365018952,2013-04-03 19:55:52+00:00
u07,cs 60,2,2,3,"43.70410765,-72.28384747",1365029941,2013-04-03 22:59:01+00:00
u07,cs77,2,4,1,"43.70387324,-72.2836399",1365616636,2013-04-10 17:57:16+00:00
u07,cs65,2,3,1,"43.70416133,-72.28362449",1365672710,2013-04-11 09:31:50+00:00
u07,cs65,2,3,1,"43.70829698,-72.28430122",1365713542,2013-04-11 20:52:22+00:00
u07,cs60,2,4,1,"43.70829698,-72.28430122",1365716115,2013-04-11 21:35:15+00:00
u07,cs77,2,3,4,"43.70829698,-72.28430122",1365734632,2013-04-12 02:43:52+00:00
u07,cs60,1,2,12,"43.70846713,-72.28425547",1366070080,2013-04-15 23:54:40+00:00
u07,cs 60,2,2,3,"43.70416614,-72.28370053",1366244987,2013-04-18 00:29:47+00:00
u07,cs65,2,3,3,"43.70412254,-72.28381654",1366245005,2013-04-18 00:30:05+00:00
u07,cs 65,2,3,2,"43.70366889,-72.28404405",1366328278,2013-04-18 23:37:58+00:00
u07,cs 77,1,4,7,"43.70366889,-72.28404405",1366328279,2013-04-18 23:37:59+00:00
u07,cs 65,2,3,1,"43.70375498,-72.28370087",1366398046,2013-04-19 19:00:46+00:00
u07,cs 60,2,3,5,"43.70413027,-72.28378295",1366440550,2013-04-20 06:49:10+00:00
u07,cs 65,1,1,9,"43.70425769,-72.28391582",1366752567,2013-04-23 21:29:27+00:00
u07,cs 65,1,3,11,"43.70425769,-72.28391582",1366752585,2013-04-23 21:29:45+00:00
u07,cs77,2,1,2,"43.70425769,-72.28391582",1366761481,2013-04-23 23:58:01+00:00
u08,rel 038,1,2,1,Unknown,1364354109,2013-03-27 03:15:09+00:00
u08,chin 62,2,2,1,Unknown,1364354128,2013-03-27 03:15:28+00:00
u08,cs 65,2,3,1,"43.70227295,-72.28989198",1364418493,2013-03-27 21:08:13+00:00
u08,cs 89,2,1,1,"43.70227295,-72.28989198",1364418506,2013-03-27 21:08:26+00:00
u08,cs 65,2,3,1,"43.70582719,-72.28937924",1364505545,2013-03-28 21:19:05+00:00
u08,chin 62,2,1,2,"43.70582719,-72.28937924",1364515796,2013-03-29 00:09:56+00:00
u08,cs65,2,1,1,"43.70350954,-72.28608081",1364591097,2013-03-29 21:04:57+00:00
u08,cs89,2,1,1,"43.70350954,-72.28608081",1364591105,2013-03-29 21:05:05+00:00
u08,no class today,2,1,1,"43.70350954,-72.28608081",1364688418,2013-03-31 00:06:58+00:00
u08,no class,2,1,1,"43.70316589,-72.2862713",1364774709,2013-04-01 00:05:09+00:00
u08,cs 89,2,3,1,"43.70516598,-72.29089148",1364848162,2013-04-01 20:29:22+00:00
u08,cs 65,2,3,1,"43.70538133,-72.29099059",1364848181,2013-04-01 20:29:41+00:00
u08,cs 50 ta,2,1,3,"43.7029938,-72.28634884",1364940789,2013-04-02 22:13:09+00:00
u08,chin 62,2,3,1,"43.70237031,-72.28787598",1364956272,2013-04-03 02:31:12+00:00
u08,cs65 section,2,1,1,"43.70237031,-72.28787598",1364959564,2013-04-03 03:26:04+00:00
u08,cs65,2,3,2,"43.70644629,-72.28641042",1365020445,2013-04-03 20:20:45+00:00
u08,cs89,2,1,1,"43.70644629,-72.28641042",1365020455,2013-04-03 20:20:55+00:00
u08,chin 62,2,1,1,"43.70342734,-72.28638739",1365127907,2013-04-05 02:11:47+00:00
u08,cs 65,2,3,2,"43.70410077,-72.28719868",1365212013,2013-04-06 01:33:33+00:00
u08,cs 89,2,1,1,"43.70410077,-72.28719868",1365212028,2013-04-06 01:33:48+00:00
u08,cs 65,1,1,5,"43.70364811,-72.28649081",1365500111,2013-04-09 09:35:11+00:00
u08,cs 89,2,1,5,"43.70364811,-72.28649081",1365500126,2013-04-09 09:35:26+00:00
u08,chin 62,1,1,4,"43.70731779,-72.2868045",1365590006,2013-04-10 10:33:26+00:00
u08,cs65,2,1,1,"43.70370174,-72.28680811",1365621357,2013-04-10 19:15:57+00:00
u08,cs 89,2,1,4,"43.70370174,-72.28680811",1365651461,2013-04-11 03:37:41+00:00
u08,cs 65,2,1,2,"43.70370174,-72.28680811",1365651462,2013-04-11 03:37:42+00:00
