user_id,resp_time,weekday,hour,exercise,walk,have,schedule,latitude,longitude,has_location
u02,2013-05-16T04:11:39+00:00,Thursday,4,1,2.0,2.0,2.0,43.70713777,-72.29296993,1
u03,2013-04-05T17:29:45+00:00,Friday,17,2,2.0,2.0,2.0,,,0
u03,2013-04-07T18:12:06+00:00,Sunday,18,2,2.0,2.0,2.0,,,0
u03,2013-04-11T19:44:21+00:00,Thursday,19,2,2.0,1.0,2.0,,,0
u03,2013-04-22T04:00:26+00:00,Monday,4,1,2.0,2.0,2.0,43.70526343,-72.28319273,1
u03,2013-04-28T03:55:03+00:00,Sunday,3,2,2.0,2.0,2.0,43.70529403,-72.28319906,1
u03,2013-04-29T03:20:48+00:00,Monday,3,2,2.0,2.0,2.0,43.70532812,-72.28315379,1
u03,2013-04-30T02:00:09+00:00,Tuesday,2,2,3.0,2.0,2.0,43.70522961,-72.2829144,1
u03,2013-05-06T01:19:38+00:00,Monday,1,2,2.0,2.0,2.0,43.70525531,-72.28306569,1
u04,2013-04-03T16:54:07+00:00,Wednesday,16,5,3.0,1.0,1.0,,,0
u04,2013-04-04T15:37:53+00:00,Thursday,15,4,3.0,1.0,2.0,,,0
u04,2013-04-07T02:17:53+00:00,Sunday,2,4,3.0,1.0,,,,0
u04,2013-04-08T01:41:53+00:00,Monday,1,4,2.0,1.0,2.0,,,0
u04,2013-04-18T03:02:19+00:00,Thursday,3,4,3.0,1.0,2.0,,,0
u04,2013-04-19T04:07:11+00:00,Friday,4,5,3.0,1.0,,43.70558971,-72.29688149,1
u04,2013-04-24T08:30:55+00:00,Wednesday,8,4,2.0,1.0,2.0,43.70310692,-72.28998483,1
u04,2013-04-29T02:39:44+00:00,Monday,2,3,2.0,1.0,2.0,43.70310102,-72.28960565,1
u04,2013-04-30T03:59:26+00:00,Tuesday,3,4,2.0,1.0,,43.70344161,-72.28587472,1
u04,2013-05-07T01:33:03+00:00,Tuesday,1,4,3.0,1.0,2.0,43.70556561,-72.29643857,1
u04,2013-05-15T05:24:55+00:00,Wednesday,5,4,3.0,1.0,,43.7019109,-72.28816483,1
u04,2013-05-16T04:18:14+00:00,Thursday,4,4,2.0,1.0,,43.7026866,-72.28761377,1
u07,2013-04-01T18:02:11+00:00,Monday,18,1,3.0,2.0,2.0,,,0
u07,2013-04-02T01:40:45+00:00,Tuesday,1,5,3.0,1.0,2.0,,,0
u07,2013-04-02T12:21:23+00:00,Tuesday,12,5,2.0,1.0,2.0,,,0
u07,2013-04-03T03:02:22+00:00,Wednesday,3,5,3.0,1.0,2.0,,,0
u07,2013-04-11T09:32:13+00:00,Thursday,9,3,3.0,1.0,2.0,,,0
u07,2013-04-17T03:39:00+00:00,Wednesday,3,1,2.0,2.0,1.0,,,0
u07,2013-04-18T18:38:25+00:00,Thursday,18,1,2.0,2.0,2.0,,,1
u07,2013-04-19T04:57:05+00:00,Friday,4,1,2.0,2.0,2.0,43.70464073,-72.29441487,1
u07,2013-04-20T06:51:03+00:00,Saturday,6,5,2.0,1.0,2.0,43.70392925,-72.28380701,1
u07,2013-04-21T02:32:19+00:00,Sunday,2,1,2.0,2.0,2.0,43.70334071,-72.28326211,1
u07,2013-04-22T04:10:59+00:00,Monday,4,1,2.0,2.0,2.0,43.70671038,-72.27728207,1
u07,2013-04-23T21:31:36+00:00,Tuesday,21,1,2.0,2.0,1.0,43.70425769,-72.28391582,1
u07,2013-04-24T12:09:01+00:00,Wednesday,12,1,2.0,2.0,2.0,43.70389416,-72.2837747,1
u08,2013-04-01T16:50:13+00:00,Monday,16,1,1.0,2.0,1.0,,,0
u08,2013-04-02T03:17:56+00:00,Tuesday,3,3,3.0,1.0,,,,0
u08,2013-04-03T02:08:58+00:00,Wednesday,2,1,3.0,2.0,1.0,,,0
u08,2013-04-03T17:38:11+00:00,Wednesday,17,1,1.0,2.0,2.0,,,0
u08,2013-04-04T02:08:16+00:00,Thursday,2,1,2.0,2.0,1.0,,,0
u08,2013-04-04T19:46:23+00:00,Thursday,19,3,2.0,1.0,,,,0
u08,2013-04-05T02:11:20+00:00,Friday,2,1,2.0,2.0,1.0,,,0
u08,2013-04-06T01:32:15+00:00,Saturday,1,1,2.0,2.0,1.0,,,0
u08,2013-04-07T01:27:36+00:00,Sunday,1,5,3.0,1.0,,,,0
u08,2013-04-08T02:55:10+00:00,Monday,2,1,2.0,2.0,1.0,,,0
u08,2013-04-09T09:36:10+00:00,Tuesday,9,1,3.0,2.0,1.0,,,0
u08,2013-04-10T10:33:58+00:00,Wednesday,10,1,3.0,2.0,1.0,,,0
u08,2013-04-12T06:25:18+00:00,Friday,6,1,3.0,2.0,1.0,,,0
u08,2013-04-13T11:34:47+00:00,Saturday,11,2,2.0,1.0,,,,0
u08,2013-04-14T05:39:19+00:00,Sunday,5,1,2.0,2.0,1.0,,,0
u08,2013-04-15T04:07:55+00:00,Monday,4,1,2.0,2.0,2.0,,,0
u08,2013-04-16T04:12:27+00:00,Tuesday,4,1,3.0,2.0,1.0,,,0
u08,2013-04-17T02:00:17+00:00,Wednesday,2,1,3.0,2.0,1.0,,,0
u08,2013-04-18T06:06:00+00:00,Thursday,6,1,3.0,2.0,1.0,,,0
u08,2013-04-18T20:33:50+00:00,Thursday,20,1,2.0,2.0,1.0,,,0
u08,2013-04-20T20:20:54+00:00,Saturday,20,4,2.0,1.0,,43.70518194,-72.28800233,1
u08,2013-04-21T20:21:17+00:00,Sunday,20,1,1.0,2.0,1.0,43.70406215,-72.28755806,1
u08,2013-04-23T06:30:25+00:00,Tuesday,6,1,2.0,2.0,1.0,43.7052687,-72.28811786,1
u08,2013-04-24T07:02:05+00:00,Wednesday,7,1,3.0,2.0,1.0,43.70466963,-72.28690138,1
u08,2013-04-25T00:57:17+00:00,Thursday,0,1,3.0,2.0,1.0,43.70440204,-72.29052256,1
u08,2013-04-25T21:55:51+00:00,Thursday,21,1,2.0,2.0,1.0,43.70356196,-72.2866634,1
u08,2013-04-27T00:28:40+00:00,Saturday,0,1,3.0,2.0,1.0,43.70295661,-72.28995533,1
u08,2013-05-01T09:17:30+00:00,Wednesday,9,1,2.0,2.0,1.0,43.70708811,-72.28767562,1
u08,2013-05-05T09:20:26+00:00,Sunday,9,5,3.0,1.0,,43.7037094,-72.28660102,1
u08,2013-05-07T03:48:15+00:00,Tuesday,3,1,4.0,2.0,1.0,43.7049437,-72.28880281,1
u08,2013-05-19T22:36:10+00:00,Sunday,22,1,3.0,2.0,1.0,43.70573461,-72.28972765,1
u10,2013-04-02T04:56:42+00:00,Tuesday,4,1,2.0,2.0,1.0,,,0
u10,2013-04-03T02:07:13+00:00,Wednesday,2,1,2.0,2.0,1.0,,,0
u10,2013-04-04T02:06:27+00:00,Thursday,2,1,3.0,2.0,1.0,,,0
u10,2013-04-06T02:00:17+00:00,Saturday,2,1,3.0,2.0,1.0,,,0
u10,2013-04-07T01:59:18+00:00,Sunday,1,1,2.0,2.0,1.0,,,0
u10,2013-04-08T01:44:09+00:00,Monday,1,1,2.0,2.0,1.0,,,0
u10,2013-04-09T02:15:04+00:00,Tuesday,2,4,2.0,1.0,,,,0
u10,2013-04-10T05:14:36+00:00,Wednesday,5,1,2.0,2.0,2.0,,,0
u10,2013-04-11T03:36:36+00:00,Thursday,3,3,2.0,1.0,,,,0
u10,2013-04-17T02:00:12+00:00,Wednesday,2,1,2.0,2.0,1.0,,,0
