user_id,resp_time,datetime_utc,challenge,effort,grade,location
u57,1367791262,2013-05-05 22:01:02+00:00,3,2,1,"43.70698232,-72.28907025"
u00,1366870367,2013-04-25 06:12:47+00:00,1,1,4,"43.75924116,-72.32919107"
u00,1367859110,2013-05-06 16:51:50+00:00,3,4,5,"48.88597611,2.34306365"
u00,1369008971,2013-05-20 00:16:11+00:00,1,1,1,"43.75930193,-72.32937522"
u16,1366948872,2013-04-26 04:01:12+00:00,1,1,2,"43.70381392,-72.29084126"
u16,1367449681,2013-05-01 23:08:01+00:00,1,1,2,"43.70395286,-72.29107028"
u16,1367535760,2013-05-02 23:02:40+00:00,1,1,3,"43.70660885,-72.28790486"
u16,1368653728,2013-05-15 21:35:28+00:00,2,3,2,"43.70374249,-72.29050587"
u16,1367791226,2013-05-05 22:00:26+00:00,2,3,2,"43.70375094,-72.29015668"
u17,1366992298,2013-04-26 16:04:58+00:00,1,1,1,"43.7060191,-72.28758328"
u17,1367209824,2013-04-29 04:30:24+00:00,1,1,1,Unknown
u17,1367364098,2013-04-30 23:21:38+00:00,1,1,2,"43.7044126,-72.29099969"
u17,1367537230,2013-05-02 23:27:10+00:00,1,1,2,"43.70765231,-72.28532082"
u01,1367004029,2013-04-26 19:20:29+00:00,1,1,2,"43.70669748,-72.28920919"
u01,1367370174,2013-05-01 01:02:54+00:00,1,1,2,"43.70684561,-72.28922683"
u56,1367005254,2013-04-26 19:40:54+00:00,1,1,1,"43.71686557,-72.30908124"
u56,1367371664,2013-05-01 01:27:44+00:00,1,1,1,"43.71666435,-72.30919789"
u56,1367450336,2013-05-01 23:18:56+00:00,1,1,1,"43.7163913,-72.30921545"
u51,1367092175,2013-04-27 19:49:35+00:00,6,6,1,"43.70210845,-72.28762862"
u51,1367177320,2013-04-28 19:28:40+00:00,6,1,1,"43.69920201,-72.28970451"
u10,1367005564,2013-04-26 19:46:04+00:00,1,1,1,"43.70330372,-72.2898598"
u10,1366907655,2013-04-25 16:34:15+00:00,2,2,1,"43.70356557,-72.28914222"
u10,1367090516,2013-04-27 19:21:56+00:00,1,1,1,"43.70416259,-72.2875169"
u47,1367090103,2013-04-27 19:15:03+00:00,2,1,1,"43.68150655645877,-72.32182986102998"
u47,1367626529,2013-05-04 00:15:29+00:00,3,2,1,Unknown
u46,1367003826,2013-04-26 19:17:06+00:00,1,1,1,"43.70525386,-72.29094429"
u46,1367363130,2013-04-30 23:05:30+00:00,2,1,1,Unknown
u07,1367187790,2013-04-28 22:23:10+00:00,2,1,1,"43.70431894,-72.28361097"
