user_id,level,location,resp_time,datetime_utc
u00,1,"43.7020707,-72.28920131",1375840084,2013-08-07 01:48:04+00:00
u00,3,"43.71339054,-72.30883507",1375922853,2013-08-08 00:47:33+00:00
u00,1,"43.70579481,-72.28577693",1376106280,2013-08-10 03:44:40+00:00
u00,2,"43.70670762,-72.28743459",1376614568,2013-08-16 00:56:08+00:00
u01,4,"43.70685969,-72.28758714",1364359545,2013-03-27 04:45:45+00:00
u01,4,"43.70685738,-72.28916538",1364514789,2013-03-28 23:53:09+00:00
u01,1,"43.70652979,-72.28926963",1364586325,2013-03-29 19:45:25+00:00
u01,5,"43.70672328,-72.28909919",1364603578,2013-03-30 00:32:58+00:00
u01,1,"43.70677676,-72.28902977",1364682446,2013-03-30 22:27:26+00:00
u01,1,"43.7067865,-72.28924896",1364755767,2013-03-31 18:49:27+00:00
u01,2,"43.70656859,-72.28959788",1364784354,2013-04-01 02:45:54+00:00
u01,1,"43.70671336,-72.28916672",1364968984,2013-04-03 06:03:04+00:00
u01,4,"43.70654787,-72.28920771",1365060515,2013-04-04 07:28:35+00:00
u01,4,"43.70712384,-72.28865547",1365142122,2013-04-05 06:08:42+00:00
u01,4,"43.70696816,-72.28903041",1365211601,2013-04-06 01:26:41+00:00
u01,5,"43.69935393,-72.29030653",1365241170,2013-04-06 09:39:30+00:00
u01,1,"43.70570732,-72.2889679",1365369714,2013-04-07 21:21:54+00:00
u01,1,"43.70522631,-72.28969164",1365483001,2013-04-09 04:50:01+00:00
u01,2,"43.70403134,-72.28895495",1365562762,2013-04-10 02:59:22+00:00
u01,1,"43.70677177,-72.28918785",1365633195,2013-04-10 22:33:15+00:00
u01,1,"43.70697918,-72.2890532",1365645796,2013-04-11 02:03:16+00:00
u01,1,"43.70461136,-72.28954968",1365734659,2013-04-12 02:44:19+00:00
u01,4,"43.70688206,-72.28906315",1365893676,2013-04-13 22:54:36+00:00
u01,1,"43.70670731,-72.28897599",1365981255,2013-04-14 23:14:15+00:00
u01,1,"43.70668962,-72.28901451",1366077144,2013-04-16 01:52:24+00:00
u01,1,"43.7065784,-72.28931637",1366086242,2013-04-16 04:24:02+00:00
u01,1,"43.70725639,-72.28916553",1366171307,2013-04-17 04:01:47+00:00
