user_id,resp_time,datetime_utc,sleep_hours,sleep_quality,sleepiness,location
u01,1364119576,2013-03-24 10:06:16+00:00,,,,
u01,1364120311,2013-03-24 10:18:31+00:00,,,,
u01,1364121002,2013-03-24 10:30:02+00:00,,,,
u01,1364122091,2013-03-24 10:48:11+00:00,,,,
u01,1364359545,2013-03-27 04:45:45+00:00,7,2,4,"43.70705013,-72.28730277"
u01,1364407488,2013-03-27 18:04:48+00:00,7,2,1,"43.70584333,-72.29017652"
u01,1364502490,2013-03-28 20:28:10+00:00,10,1,3,"43.7066424,-72.2890265"
u01,1364576423,2013-03-29 17:00:23+00:00,7,1,1,"43.70652979,-72.28926963"
u01,1364671882,2013-03-30 19:31:22+00:00,8,1,2,"43.70677676,-72.28902977"
u01,1364755756,2013-03-31 18:49:16+00:00,8,1,1,"43.70678938,-72.28927705"
u01,1364847339,2013-04-01 20:15:39+00:00,7,2,1,"43.70634494,-72.28951935"
u01,1364935832,2013-04-02 20:50:32+00:00,8,2,3,"43.70685259,-72.28918567"
u01,1365011632,2013-04-03 17:53:52+00:00,6,2,3,"43.70517864,-72.29310913"
u01,1365105432,2013-04-04 19:57:12+00:00,8,2,1,"43.70680683,-72.28946636"
u01,1365195545,2013-04-05 20:59:05+00:00,7,3,1,"43.70691657,-72.28849213"
u01,1365285449,2013-04-06 21:57:29+00:00,8,1,1,"43.70649925,-72.28905413"
u01,1365369720,2013-04-07 21:22:00+00:00,9,1,1,"43.70570732,-72.2889679"
u01,1365449016,2013-04-08 19:23:36+00:00,6,2,1,"43.70542081,-72.29035437"
u01,1365562774,2013-04-10 02:59:34+00:00,8,1,1,"43.70403134,-72.28895495"
u01,1365613501,2013-04-10 17:05:01+00:00,5,2,1,"43.70687149,-72.28907564"
u01,1365705139,2013-04-11 18:32:19+00:00,6,2,4,"43.70664697,-72.28911878"
u01,1365790244,2013-04-12 18:10:44+00:00,5,2,3,"43.70684932,-72.28899775"
u01,1365883019,2013-04-13 19:56:59+00:00,9,1,4,"43.70680288,-72.28934208"
u01,1365963942,2013-04-14 18:25:42+00:00,8,1,1,"43.70687853,-72.28921947"
u01,1366165833,2013-04-17 02:30:33+00:00,7,1,1,"43.70725639,-72.28916553"
u01,1366222505,2013-04-17 18:15:05+00:00,5,2,3,"43.70659283,-72.28814359"
u01,1366315114,2013-04-18 19:58:34+00:00,8,1,1,"43.70717445,-72.28666226"
u01,1366394227,2013-04-19 17:57:07+00:00,7,2,1,"43.70697063,-72.28757551"
u01,1366575251,2013-04-21 20:14:11+00:00,7,2,4,"43.70166778,-72.28840981"
u01,1366653422,2013-04-22 17:57:02+00:00,7,2,1,"43.70780807,-72.28439587"
u01,1366740791,2013-04-23 18:13:11+00:00,7,1,1,"43.70685448,-72.28901014"
u02,1364118720,2013-03-24 09:52:00+00:00,,,,
u02,1364121905,2013-03-24 10:45:05+00:00,,,,
u02,1364121907,2013-03-24 10:45:07+00:00,,,,
u02,1364121909,2013-03-24 10:45:09+00:00,,,,
u02,1364122025,2013-03-24 10:47:05+00:00,,,,
u02,1364369453,2013-03-27 07:30:53+00:00,8,2,1,"43.70723501,-72.29347145"
u02,1364407401,2013-03-27 18:03:21+00:00,8,2,1,"43.70834437,-72.28451848"
u02,1364490036,2013-03-28 17:00:36+00:00,7,2,1,"43.70641389,-72.29107117"
u02,1364577385,2013-03-29 17:16:25+00:00,7,3,1,"43.70707642,-72.29320008"
u02,1364669673,2013-03-30 18:54:33+00:00,8,2,1,"43.70709166,-72.29282882"
u02,1364749224,2013-03-31 17:00:24+00:00,7,2,1,"43.70727019,-72.29252239"
u02,1364839233,2013-04-01 18:00:33+00:00,7,2,1,"43.70662942,-72.29294684"
u02,1364926201,2013-04-02 18:10:01+00:00,8,2,2,"43.70694471,-72.29285091"
u02,1365012102,2013-04-03 18:01:42+00:00,8,3,2,"43.70675024,-72.28772427"
u02,1365096782,2013-04-04 17:33:02+00:00,8,2,2,"43.70699087,-72.29313158"
u02,1365181768,2013-04-05 17:09:28+00:00,8,2,1,"43.70719722,-72.29290575"
u02,1365281379,2013-04-06 20:49:39+00:00,7,2,1,"43.70706246,-72.29325032"
u02,1365379462,2013-04-08 00:04:22+00:00,9,2,1,"43.70620445,-72.29116858"
u02,1365443890,2013-04-08 17:58:10+00:00,7,2,1,"43.70720645,-72.29347981"
u02,1365526833,2013-04-09 17:00:33+00:00,7,2,1,"43.70713201,-72.29322051"
u02,1365618300,2013-04-10 18:25:00+00:00,8,2,2,"43.7069528,-72.2931724"
u02,1365872591,2013-04-13 17:03:11+00:00,8,2,2,"43.707168,-72.29310824"
u02,1366221916,2013-04-17 18:05:16+00:00,9,2,1,"43.70605802,-72.28864087"
u02,1366572609,2013-04-21 19:30:09+00:00,8,2,1,"43.70719648,-72.29309611"
u02,1366654084,2013-04-22 18:08:04+00:00,8,2,2,"43.70900376,-72.2843243"
u02,1366927281,2013-04-25 22:01:21+00:00,7,2,1,"43.70870796,-72.28461773"
u02,1366996465,2013-04-26 17:14:25+00:00,6,2,2,"43.70720485,-72.29317244"
u02,1367561973,2013-05-03 06:19:33+00:00,8,2,2,Unknown
u02,1367605100,2013-05-03 18:18:20+00:00,9,1,2,"43.7071293,-72.29291473"
u02,1367777707,2013-05-05 18:15:07+00:00,9,1,2,"43.70716858,-72.29328296"
u02,1368725855,2013-05-16 17:37:35+00:00,12,2,1,"43.70731664,-72.29342927"
u03,1364118970,2013-03-24 09:56:10+00:00,,,,
u03,1364122017,2013-03-24 10:46:57+00:00,,,,
u03,1364122019,2013-03-24 10:46:59+00:00,,,,
u03,1364122021,2013-03-24 10:47:01+00:00,,,,
u03,1364122025,2013-03-24 10:47:05+00:00,,,,
u03,1364410074,2013-03-27 18:47:54+00:00,9,1,1,"43.70546863,-72.28321419"
u03,1364410076,2013-03-27 18:47:56+00:00,8,2,1,"43.70525296,-72.28308162"
u03,1364410077,2013-03-27 18:47:57+00:00,8,1,1,"43.70525296,-72.28308162"
u03,1364773833,2013-03-31 23:50:33+00:00,7,1,1,"43.70530603,-72.28310302"
u03,1364773835,2013-03-31 23:50:35+00:00,8,1,1,"43.70746063,-72.28315636"
u03,1364773838,2013-03-31 23:50:38+00:00,7,2,1,"43.70523052,-72.28350678"
u03,1364773840,2013-03-31 23:50:40+00:00,7,1,1,"43.70535266,-72.28309587"
u03,1364773842,2013-03-31 23:50:42+00:00,10,2,1,"43.70535266,-72.28309587"
u03,1364773844,2013-03-31 23:50:44+00:00,7,3,1,"43.70535266,-72.28309587"
u03,1364838665,2013-04-01 17:51:05+00:00,7,1,1,"43.70920786,-72.28460593"
u03,1365008678,2013-04-03 17:04:38+00:00,6,3,1,"43.7054161,-72.28299347"
u03,1365112789,2013-04-04 21:59:49+00:00,10,1,2,"43.70552434,-72.28317625"
u03,1365182962,2013-04-05 17:29:22+00:00,4,3,2,"43.70532086,-72.2832369"
u03,1365358308,2013-04-07 18:11:48+00:00,6,2,1,"43.70528579,-72.28310255"
u03,1365441288,2013-04-08 17:14:48+00:00,7,1,1,"43.7053387,-72.28324926"
u03,1365527094,2013-04-09 17:04:54+00:00,8,1,1,"43.705293,-72.28306177"
u03,1365617086,2013-04-10 18:04:46+00:00,7,1,1,"43.70513656,-72.2831101"
u03,1365709445,2013-04-11 19:44:05+00:00,10,3,2,"43.70513656,-72.2831101"
u03,1365882852,2013-04-13 19:54:12+00:00,9,1,1,"43.70757708,-72.28323056"
u03,1366050931,2013-04-15 18:35:31+00:00,8,3,1,"43.70521639,-72.28299915"
u03,1366135634,2013-04-16 18:07:14+00:00,8,2,1,"43.70519796,-72.2831421"
u03,1366564644,2013-04-21 17:17:24+00:00,7,1,1,"43.70528154,-72.28321151"
u03,1366644223,2013-04-22 15:23:43+00:00,7,1,1,"43.70536246,-72.28320682"
u03,1366740440,2013-04-23 18:07:20+00:00,7,2,1,"43.70514059,-72.28261432"
u03,1367255352,2013-04-29 17:09:12+00:00,7,2,1,"43.70490311,-72.28288916"
u03,1368207261,2013-05-10 17:34:21+00:00,15,1,1,"43.70518948,-72.28302556"
u03,1368387226,2013-05-12 19:33:46+00:00,13,3,1,"43.7051697,-72.28238955"
u03,1369162806,2013-05-21 19:00:06+00:00,9,2,1,"43.70528139,-72.28324128"
u04,1364118675,2013-03-24 09:51:15+00:00,,,,
u04,1364119684,2013-03-24 10:08:04+00:00,,,,
u04,1364120188,2013-03-24 10:16:28+00:00,,,,
u04,1364121717,2013-03-24 10:41:57+00:00,,,,
u04,1364349542,2013-03-27 01:59:02+00:00,6,2,1,"43.70443732,-72.28677041"
u04,1364397339,2013-03-27 15:15:39+00:00,6,2,1,"43.70421582,-72.2867684"
u04,1364408319,2013-03-27 18:18:39+00:00,6,2,1,"43.70653338,-72.28661597"
u04,1364483589,2013-03-28 15:13:09+00:00,7,2,1,"43.70437389,-72.28688493"
u04,1364493549,2013-03-28 17:59:09+00:00,6,2,1,"43.70437389,-72.28688493"
u04,1364569842,2013-03-29 15:10:42+00:00,6,2,1,"43.70349874,-72.28440608"
u04,1364579824,2013-03-29 17:57:04+00:00,6,2,1,"43.70414142,-72.28932127"
u04,1364674136,2013-03-30 20:08:56+00:00,7,3,1,
u04,1364758395,2013-03-31 19:33:15+00:00,7,3,1,"43.70315377,-72.28626052"
u04,1364828599,2013-04-01 15:03:19+00:00,6,2,1,"43.70410518,-72.28790447"
u04,1364838888,2013-04-01 17:54:48+00:00,6,2,1,"43.70338698,-72.28924152"
u04,1364923429,2013-04-02 17:23:49+00:00,8,2,1,"43.7058173,-72.29660835"
u04,1365012122,2013-04-03 18:02:02+00:00,8,2,1,"43.7038194,-72.28630753"
u04,1365089888,2013-04-04 15:38:08+00:00,7,2,1,"43.70500049,-72.28555637"
u04,1365105751,2013-04-04 20:02:31+00:00,7,2,1,"43.70500049,-72.28555637"
u04,1365175530,2013-04-05 15:25:30+00:00,6,2,1,"43.70302172,-72.28510945"
u04,1365184410,2013-04-05 17:53:30+00:00,7,2,1,"43.70301965,-72.2847275"
u04,1365294145,2013-04-07 00:22:25+00:00,5,2,1,"41.56429417,-73.40466456"
u04,1365353379,2013-04-07 16:49:39+00:00,5,3,1,"43.70400146,-72.28561947"
u04,1365443273,2013-04-08 17:47:53+00:00,8,2,1,"43.70661818,-72.28797185"
u04,1365534269,2013-04-09 19:04:29+00:00,8,2,1,"43.70449075,-72.28617485"
u04,1365614197,2013-04-10 17:16:37+00:00,6,3,1,"43.70493208,-72.28856946"
u04,1365700388,2013-04-11 17:13:08+00:00,7,3,1,"43.70417131,-72.28591047"
u04,1365787423,2013-04-12 17:23:43+00:00,6,2,1,"43.7041984,-72.28652356"
u04,1366049133,2013-04-15 18:05:33+00:00,6,1,1,"43.70414785,-72.28568415"
u04,1366138282,2013-04-16 18:51:22+00:00,6,2,1,"43.70433801,-72.28693212"
u04,1366218171,2013-04-17 17:02:51+00:00,6,2,1,"43.70406175,-72.28602073"
u04,1366305113,2013-04-18 17:11:53+00:00,6,2,1,"43.7040839,-72.29095577"
u04,1366383771,2013-04-19 15:02:51+00:00,6,1,1,"43.70394475,-72.2863293"
u04,1366653088,2013-04-22 17:51:28+00:00,7,1,1,"43.70623282,-72.28816572"
u04,1366742526,2013-04-23 18:42:06+00:00,8,1,1,"43.70431008,-72.28573285"
u04,1367344723,2013-04-30 17:58:43+00:00,6,2,1,"43.70392825,-72.28599485"
u04,1367431226,2013-05-01 18:00:26+00:00,7,3,1,"43.70405908,-72.28617372"
u04,1368467659,2013-05-13 17:54:19+00:00,5,2,1,"43.70359634,-72.28941721"
u05,1364122430,2013-03-24 10:53:50+00:00,,,,
u05,1364122432,2013-03-24 10:53:52+00:00,,,,
u05,1364122433,2013-03-24 10:53:53+00:00,,,,
u05,1364122435,2013-03-24 10:53:55+00:00,,,,
u05,1364122435,2013-03-24 10:53:55+00:00,,,,
u05,1364122437,2013-03-24 10:53:57+00:00,,,,
u05,1364409301,2013-03-27 18:35:01+00:00,8,1,1,"43.70751491,-72.28694759"
u05,1364409303,2013-03-27 18:35:03+00:00,7,1,1,"43.70751491,-72.28694759"
u05,1364501312,2013-03-28 20:08:32+00:00,8,2,1,"43.70751491,-72.28694759"
u05,1364605379,2013-03-30 01:02:59+00:00,5,3,1,"43.70751491,-72.28694759"
